############ SAMPLE POSITIONS: msaa4b vs msaa4sp (all BOs, wide) ############
   +0x0068: 2100a302 -> 04000000
   +0x006c: 88800000 -> 2704041a
   +0x0070: 1c800200 -> 2100a302
   +0x0074: 04000000 -> 88800000
   +0x0078: 27040400 -> 1c800200
   +0x007c: 3000a412 -> 04000000
   +0x0080: 0b140944 -> 27040400
   +0x0084: 1b160904 -> 3000a412
   +0x0088: 2b180904 -> 4b1c0944
   +0x008c: 3b1a0904 -> 5b1e0904
   +0x0090: 4b1c0904 -> 6b200904
   +0x0094: 5b1e0904 -> 7b220904
   +0x0098: 6b200904 -> 0b140904
   +0x009c: 7b220904 -> 1b160904
   +0x00a0: 0e000000 -> 2b180904
   +0x00a4: 00000000 -> 3b1a0904
   +0x00a8: 00000000 -> 8b240904
   +0x00ac: 00000000 -> 9b260904
   +0x00b0: 00000000 -> ab280904
   +0x00b4: 00000000 -> bb2a0904
   +0x00b8: 00000000 -> 43000702
   +0x00bc: 00000000 -> 2220a002
   +0x00c0: 00000000 -> 0e000000
va 100000f0000: 16 diffs
   +0x14b0: 00000000 -> 00150f00
   +0x14b4: 00000000 -> 00010000
   +0x14b8: 00000000 -> 00cd0100
   +0x14bc: 00000000 -> 00010000
   +0x14c0: 220ae43f -> 220a88f6
   +0x14c4: 801f0020 -> 03f80120
   +0x14e0: 00000f08 -> 220ae43f
   +0x14e4: 00070000 -> 801f0020
   +0x14e8: 00000000 -> 00800000
   +0x14ec: 00000000 -> 10000080
   +0x14f0: 00000000 -> 00840000
   +0x14f4: 00000000 -> 10000000
   +0x1500: 00000000 -> 00000f68
   +0x1504: 00000000 -> 1b070000
   +0x1520: 00000000 -> 00000f08
   +0x1524: 00000000 -> 00070000

############ PBE arg-buffer resource table dump (iw_w, va100000f0000) ############
bo_sigusr1_h0_va100000f0000_ +0x14a0: c0140f0000010000  LE=0x100000f14c0
bo_sigusr1_h0_va100000f0000_ +0x14a8: e0140f0000010000  LE=0x100000f14e0
bo_sigusr1_h0_va100000f0000_ +0x14b0: 0000000000000000  LE=0x0
bo_sigusr1_h0_va100000f0000_ +0x14b8: 0000000000000000  LE=0x0

############ USC compute: uc_t1 vs uc_t3 (textures) ############
va 10000000000: 7009 diffs
   +0x23c0: c0000000 -> 00010000
   +0x2450: 0f041200 -> 0f040200
   +0x2454: 41800021 -> c9000021
   +0x2464: 00001ca0 -> 00004f04
   +0x2468: 10260901 -> 0200c900
   +0x246c: 0c110022 -> 08010100
   +0x2470: 0f080302 -> 01000000
   +0x2474: 01461040 -> 00000080
   +0x2478: 0e000000 -> 00000000
   +0x247c: 00000000 -> 2f041200
   +0x2480: 40020000 -> 41900001
   +0x2484: 00000000 -> 01000100
   +0x248c: 00000000 -> 00800000
   +0x2490: 00000000 -> 00001ca0
   +0x2494: 00000000 -> 10460909
   +0x2498: 00000000 -> 3c010040
   +0x249c: 00000000 -> 09012c11
   +0x24a0: 00000000 -> 00020901
   +0x24a4: 00000000 -> 1c050020
   +0x24a8: 00000000 -> 0f080302
   +0x24ac: 00000000 -> 01661040
   +0x24b0: 00000000 -> 0e000000
   +0x24c0: 24802110 -> 40020000
   +0x24c4: 4701a082 -> 00000000
   +0x24c8: 1c8a0827 -> 00000000
   +0x24cc: 2f000300 -> 00000000
   +0x24d0: a04c0021 -> 00000000
   +0x24d4: 33040780 -> 00000000
   +0x24d8: 3a78a212 -> 00000000
   +0x24dc: 82810a0b -> 00000000
   +0x24e0: 2b800600 -> 00000000
   +0x24e4: 07020000 -> 00000000
   +0x24e8: 4b040104 -> 00000000
   +0x24ec: 5b060104 -> 00000000
   +0x24f0: 1e00000e -> 00000000
   +0x24f4: 2f000300 -> 00000000
   +0x24f8: a00c0020 -> 00000000
   +0x24fc: 5e62e00e -> 00000000
   +0x2500: 2f040300 -> 24802110
   +0x2504: a80c0020 -> 4701a082
   ...(6969 more)
va 10000018000: 88 diffs
   +0x0040: 00000000 -> 220a88f6
   +0x0044: 00000000 -> 00780020
   +0x0048: 00000000 -> 801d0000
   +0x004c: 00000000 -> 10000080
   +0x0050: 00000000 -> c01d0000
   +0x0054: 00000000 -> 10000000
   +0x0060: 00000000 -> 220a88f6
   +0x0064: 00000000 -> 00780020
   +0x0068: 00000000 -> 001e0000
   +0x006c: 00000000 -> 10000080
   +0x0070: 00000000 -> 401e0000
   +0x0074: 00000000 -> 10000000
   +0x0240: 00000000 -> 220ae40f
   +0x0244: 00000000 -> 80070020
   +0x0248: 00000000 -> 801d0000
   +0x024c: 00000000 -> 10000080
   +0x0250: 00000000 -> c01d0000
   +0x0254: 00000000 -> 10000000
   +0x0260: 00000000 -> 220ae40f
   +0x0264: 00000000 -> 80070020
   +0x0268: 00000000 -> 001e0000
   +0x026c: 00000000 -> 10000080
   +0x0270: 00000000 -> 401e0000
   +0x0274: 00000000 -> 10000000
   +0x5c00: 00000000 -> 7f7f7f7f
   +0x5c04: 00000000 -> 7f7f7f7f
   +0x5c08: 00000000 -> 7f7f7f7f
   +0x5c0c: 00000000 -> 7f7f7f7f
   +0x5c10: 00000000 -> 7f7f7f7f
   +0x5c14: 00000000 -> 7f7f7f7f
   +0x5c18: 00000000 -> 7f7f7f7f
   +0x5c1c: 00000000 -> 7f7f7f7f
   +0x5c20: 00000000 -> 7f7f7f7f
   +0x5c24: 00000000 -> 7f7f7f7f
   +0x5c28: 00000000 -> 7f7f7f7f
   +0x5c2c: 00000000 -> 7f7f7f7f
   +0x5c30: 00000000 -> 7f7f7f7f
   +0x5c34: 00000000 -> 7f7f7f7f
   +0x5c38: 00000000 -> 7f7f7f7f
   +0x5c3c: 00000000 -> 7f7f7f7f
   ...(48 more)
va 10000018200: 76 diffs
   +0x0040: 00000000 -> 220ae40f
   +0x0044: 00000000 -> 80070020
   +0x0048: 00000000 -> 801d0000
   +0x004c: 00000000 -> 10000080
   +0x0050: 00000000 -> c01d0000
   +0x0054: 00000000 -> 10000000
   +0x0060: 00000000 -> 220ae40f
   +0x0064: 00000000 -> 80070020
   +0x0068: 00000000 -> 001e0000
   +0x006c: 00000000 -> 10000080
   +0x0070: 00000000 -> 401e0000
   +0x0074: 00000000 -> 10000000
   +0x5a00: 00000000 -> 7f7f7f7f
   +0x5a04: 00000000 -> 7f7f7f7f
   +0x5a08: 00000000 -> 7f7f7f7f
   +0x5a0c: 00000000 -> 7f7f7f7f
   +0x5a10: 00000000 -> 7f7f7f7f
   +0x5a14: 00000000 -> 7f7f7f7f
   +0x5a18: 00000000 -> 7f7f7f7f
   +0x5a1c: 00000000 -> 7f7f7f7f
   +0x5a20: 00000000 -> 7f7f7f7f
   +0x5a24: 00000000 -> 7f7f7f7f
   +0x5a28: 00000000 -> 7f7f7f7f
   +0x5a2c: 00000000 -> 7f7f7f7f
   +0x5a30: 00000000 -> 7f7f7f7f
   +0x5a34: 00000000 -> 7f7f7f7f
   +0x5a38: 00000000 -> 7f7f7f7f
   +0x5a3c: 00000000 -> 7f7f7f7f
   +0x5a40: 00000000 -> 7f7f7f7f
   +0x5a44: 00000000 -> 7f7f7f7f
   +0x5a48: 00000000 -> 7f7f7f7f
   +0x5a4c: 00000000 -> 7f7f7f7f
   +0x5a50: 00000000 -> 7f7f7f7f
   +0x5a54: 00000000 -> 7f7f7f7f
   +0x5a58: 00000000 -> 7f7f7f7f
   +0x5a5c: 00000000 -> 7f7f7f7f
   +0x5a60: 00000000 -> 7f7f7f7f
   +0x5a64: 00000000 -> 7f7f7f7f
   +0x5a68: 00000000 -> 7f7f7f7f
   +0x5a6c: 00000000 -> 7f7f7f7f
   ...(36 more)
va 10000018400: 64 diffs
   +0x5800: 00000000 -> 7f7f7f7f
   +0x5804: 00000000 -> 7f7f7f7f
   +0x5808: 00000000 -> 7f7f7f7f
   +0x580c: 00000000 -> 7f7f7f7f
   +0x5810: 00000000 -> 7f7f7f7f
   +0x5814: 00000000 -> 7f7f7f7f
   +0x5818: 00000000 -> 7f7f7f7f
   +0x581c: 00000000 -> 7f7f7f7f
   +0x5820: 00000000 -> 7f7f7f7f
   +0x5824: 00000000 -> 7f7f7f7f
   +0x5828: 00000000 -> 7f7f7f7f
   +0x582c: 00000000 -> 7f7f7f7f
   +0x5830: 00000000 -> 7f7f7f7f
   +0x5834: 00000000 -> 7f7f7f7f
   +0x5838: 00000000 -> 7f7f7f7f
   +0x583c: 00000000 -> 7f7f7f7f
   +0x5840: 00000000 -> 7f7f7f7f
   +0x5844: 00000000 -> 7f7f7f7f
   +0x5848: 00000000 -> 7f7f7f7f
   +0x584c: 00000000 -> 7f7f7f7f
   +0x5850: 00000000 -> 7f7f7f7f
   +0x5854: 00000000 -> 7f7f7f7f
   +0x5858: 00000000 -> 7f7f7f7f
   +0x585c: 00000000 -> 7f7f7f7f
   +0x5860: 00000000 -> 7f7f7f7f
   +0x5864: 00000000 -> 7f7f7f7f
   +0x5868: 00000000 -> 7f7f7f7f
   +0x586c: 00000000 -> 7f7f7f7f
   +0x5870: 00000000 -> 7f7f7f7f
   +0x5874: 00000000 -> 7f7f7f7f
   +0x5878: 00000000 -> 7f7f7f7f
   +0x587c: 00000000 -> 7f7f7f7f
   +0x6000: 00000000 -> 7f7f7f7f
   +0x6004: 00000000 -> 7f7f7f7f
   +0x6008: 00000000 -> 7f7f7f7f
   +0x600c: 00000000 -> 7f7f7f7f
   +0x6010: 00000000 -> 7f7f7f7f
   +0x6014: 00000000 -> 7f7f7f7f
   +0x6018: 00000000 -> 7f7f7f7f
   +0x601c: 00000000 -> 7f7f7f7f
   ...(24 more)
va 10000018500: 64 diffs
   +0x5700: 00000000 -> 7f7f7f7f
   +0x5704: 00000000 -> 7f7f7f7f
   +0x5708: 00000000 -> 7f7f7f7f
   +0x570c: 00000000 -> 7f7f7f7f
   +0x5710: 00000000 -> 7f7f7f7f
   +0x5714: 00000000 -> 7f7f7f7f
   +0x5718: 00000000 -> 7f7f7f7f
   +0x571c: 00000000 -> 7f7f7f7f
   +0x5720: 00000000 -> 7f7f7f7f
   +0x5724: 00000000 -> 7f7f7f7f
   +0x5728: 00000000 -> 7f7f7f7f
   +0x572c: 00000000 -> 7f7f7f7f
   +0x5730: 00000000 -> 7f7f7f7f
   +0x5734: 00000000 -> 7f7f7f7f
   +0x5738: 00000000 -> 7f7f7f7f
   +0x573c: 00000000 -> 7f7f7f7f
   +0x5740: 00000000 -> 7f7f7f7f
   +0x5744: 00000000 -> 7f7f7f7f
   +0x5748: 00000000 -> 7f7f7f7f
   +0x574c: 00000000 -> 7f7f7f7f
   +0x5750: 00000000 -> 7f7f7f7f
   +0x5754: 00000000 -> 7f7f7f7f
   +0x5758: 00000000 -> 7f7f7f7f
   +0x575c: 00000000 -> 7f7f7f7f
   +0x5760: 00000000 -> 7f7f7f7f
   +0x5764: 00000000 -> 7f7f7f7f
   +0x5768: 00000000 -> 7f7f7f7f
   +0x576c: 00000000 -> 7f7f7f7f
   +0x5770: 00000000 -> 7f7f7f7f
   +0x5774: 00000000 -> 7f7f7f7f
   +0x5778: 00000000 -> 7f7f7f7f
   +0x577c: 00000000 -> 7f7f7f7f
   +0x5f00: 00000000 -> 7f7f7f7f
   +0x5f04: 00000000 -> 7f7f7f7f
   +0x5f08: 00000000 -> 7f7f7f7f
   +0x5f0c: 00000000 -> 7f7f7f7f
   +0x5f10: 00000000 -> 7f7f7f7f
   +0x5f14: 00000000 -> 7f7f7f7f
   +0x5f18: 00000000 -> 7f7f7f7f
   +0x5f1c: 00000000 -> 7f7f7f7f
   ...(24 more)
va 10000018700: 64 diffs
   +0x5500: 00000000 -> 7f7f7f7f
   +0x5504: 00000000 -> 7f7f7f7f
   +0x5508: 00000000 -> 7f7f7f7f
   +0x550c: 00000000 -> 7f7f7f7f
   +0x5510: 00000000 -> 7f7f7f7f
   +0x5514: 00000000 -> 7f7f7f7f
   +0x5518: 00000000 -> 7f7f7f7f
   +0x551c: 00000000 -> 7f7f7f7f
   +0x5520: 00000000 -> 7f7f7f7f
   +0x5524: 00000000 -> 7f7f7f7f
   +0x5528: 00000000 -> 7f7f7f7f
   +0x552c: 00000000 -> 7f7f7f7f
   +0x5530: 00000000 -> 7f7f7f7f
   +0x5534: 00000000 -> 7f7f7f7f
   +0x5538: 00000000 -> 7f7f7f7f
   +0x553c: 00000000 -> 7f7f7f7f
   +0x5540: 00000000 -> 7f7f7f7f
   +0x5544: 00000000 -> 7f7f7f7f
   +0x5548: 00000000 -> 7f7f7f7f
   +0x554c: 00000000 -> 7f7f7f7f
   +0x5550: 00000000 -> 7f7f7f7f
   +0x5554: 00000000 -> 7f7f7f7f
   +0x5558: 00000000 -> 7f7f7f7f
   +0x555c: 00000000 -> 7f7f7f7f
   +0x5560: 00000000 -> 7f7f7f7f
   +0x5564: 00000000 -> 7f7f7f7f
   +0x5568: 00000000 -> 7f7f7f7f
   +0x556c: 00000000 -> 7f7f7f7f
   +0x5570: 00000000 -> 7f7f7f7f
   +0x5574: 00000000 -> 7f7f7f7f
   +0x5578: 00000000 -> 7f7f7f7f
   +0x557c: 00000000 -> 7f7f7f7f
   +0x5d00: 00000000 -> 7f7f7f7f
   +0x5d04: 00000000 -> 7f7f7f7f
