DEVICE Apple M4
CONFIG mode=uniform order=0,1,2,3,4,5,6,7 count=650 watchdog_sec=10.0 pad_mb=0 extra_queues=0
RESULT i=310 name=vs_u0310 stage=draw status=completed final_status=4 error=""
RESULT i=311 name=vs_u0311 stage=draw status=completed final_status=4 error=""
RESULT i=312 name=vs_u0312 stage=draw status=completed final_status=4 error=""
RESULT i=313 name=vs_u0313 stage=draw status=completed final_status=4 error=""
RESULT i=314 name=vs_u0314 stage=draw status=completed final_status=4 error=""
RESULT i=315 name=vs_u0315 stage=draw status=completed final_status=4 error=""
RESULT i=316 name=vs_u0316 stage=draw status=completed final_status=4 error=""
RESULT i=317 name=vs_u0317 stage=draw status=completed final_status=4 error=""
RESULT i=318 name=vs_u0318 stage=draw status=completed final_status=4 error=""
RESULT i=319 name=vs_u0319 stage=draw status=completed final_status=4 error=""
RESULT i=320 name=vs_u0320 stage=draw status=completed final_status=4 error=""
RESULT i=321 name=vs_u0321 stage=draw status=completed final_status=4 error=""
RESULT i=322 name=vs_u0322 stage=draw status=completed final_status=4 error=""
RESULT i=323 name=vs_u0323 stage=draw status=completed final_status=4 error=""
RESULT i=324 name=vs_u0324 stage=draw status=completed final_status=4 error=""
RESULT i=325 name=vs_u0325 stage=draw status=completed final_status=4 error=""
RESULT i=326 name=vs_u0326 stage=draw status=completed final_status=4 error=""
RESULT i=327 name=vs_u0327 stage=draw status=completed final_status=4 error=""
RESULT i=328 name=vs_u0328 stage=draw status=completed final_status=4 error=""
RESULT i=329 name=vs_u0329 stage=draw status=completed final_status=4 error=""
RESULT i=330 name=vs_u0330 stage=draw status=completed final_status=4 error=""
RESULT i=331 name=vs_u0331 stage=draw status=completed final_status=4 error=""
RESULT i=332 name=vs_u0332 stage=draw status=completed final_status=4 error=""
RESULT i=333 name=vs_u0333 stage=draw status=completed final_status=4 error=""
RESULT i=334 name=vs_u0334 stage=draw status=completed final_status=4 error=""
RESULT i=335 name=vs_u0335 stage=draw status=completed final_status=4 error=""
RESULT i=336 name=vs_u0336 stage=draw status=completed final_status=4 error=""
RESULT i=337 name=vs_u0337 stage=draw status=completed final_status=4 error=""
RESULT i=338 name=vs_u0338 stage=draw status=completed final_status=4 error=""
RESULT i=339 name=vs_u0339 stage=draw status=completed final_status=4 error=""
RESULT i=340 name=vs_u0340 stage=draw status=completed final_status=4 error=""
RESULT i=341 name=vs_u0341 stage=draw status=completed final_status=4 error=""
RESULT i=342 name=vs_u0342 stage=draw status=completed final_status=4 error=""
RESULT i=343 name=vs_u0343 stage=draw status=completed final_status=4 error=""
RESULT i=344 name=vs_u0344 stage=draw status=completed final_status=4 error=""
RESULT i=345 name=vs_u0345 stage=draw status=completed final_status=4 error=""
RESULT i=346 name=vs_u0346 stage=draw status=completed final_status=4 error=""
RESULT i=347 name=vs_u0347 stage=draw status=completed final_status=4 error=""
RESULT i=348 name=vs_u0348 stage=draw status=completed final_status=4 error=""
RESULT i=349 name=vs_u0349 stage=draw status=completed final_status=4 error=""
RESULT i=350 name=vs_u0350 stage=draw status=completed final_status=4 error=""
DUMP i=350
RESULT i=351 name=vs_u0351 stage=draw status=completed final_status=4 error=""
RESULT i=352 name=vs_u0352 stage=draw status=completed final_status=4 error=""
RESULT i=353 name=vs_u0353 stage=draw status=completed final_status=4 error=""
RESULT i=354 name=vs_u0354 stage=draw status=completed final_status=4 error=""
RESULT i=355 name=vs_u0355 stage=draw status=completed final_status=4 error=""
RESULT i=356 name=vs_u0356 stage=draw status=completed final_status=4 error=""
RESULT i=357 name=vs_u0357 stage=draw status=completed final_status=4 error=""
RESULT i=358 name=vs_u0358 stage=draw status=completed final_status=4 error=""
RESULT i=359 name=vs_u0359 stage=draw status=completed final_status=4 error=""
RESULT i=360 name=vs_u0360 stage=draw status=completed final_status=4 error=""
RESULT i=361 name=vs_u0361 stage=draw status=completed final_status=4 error=""
RESULT i=362 name=vs_u0362 stage=draw status=completed final_status=4 error=""
RESULT i=363 name=vs_u0363 stage=draw status=completed final_status=4 error=""
RESULT i=364 name=vs_u0364 stage=draw status=completed final_status=4 error=""
RESULT i=365 name=vs_u0365 stage=draw status=completed final_status=4 error=""
RESULT i=366 name=vs_u0366 stage=draw status=completed final_status=4 error=""
RESULT i=367 name=vs_u0367 stage=draw status=completed final_status=4 error=""
RESULT i=368 name=vs_u0368 stage=draw status=completed final_status=4 error=""
RESULT i=369 name=vs_u0369 stage=draw status=completed final_status=4 error=""
RESULT i=370 name=vs_u0370 stage=draw status=completed final_status=4 error=""
RESULT i=371 name=vs_u0371 stage=draw status=completed final_status=4 error=""
RESULT i=372 name=vs_u0372 stage=draw status=completed final_status=4 error=""
RESULT i=373 name=vs_u0373 stage=draw status=completed final_status=4 error=""
RESULT i=374 name=vs_u0374 stage=draw status=completed final_status=4 error=""
RESULT i=375 name=vs_u0375 stage=draw status=completed final_status=4 error=""
RESULT i=376 name=vs_u0376 stage=draw status=completed final_status=4 error=""
