BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0364: 0x00000000 -> 0x00bc0000   (A 0  B 12320768)
  +0x0368: 0x00000000 -> 0x0611b9b4   (A 0  B 101824948)
  +0x0370: 0x00000000 -> 0x1454120f   (A 0  B 341053967)
  +0x0374: 0x00000000 -> 0x060f004c   (A 0  B 101646412)
  +0x0378: 0x00000000 -> 0x00000254   (A 0  B 596)
  +0x037c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0380: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0384: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0388: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x038c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0390: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0394: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0398: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x039c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x03a0: 0x00000000 -> 0x000f0006   (A 0  B 983046)
  +0x03a4: 0x00000000 -> 0x00068154   (A 0  B 426324)
  +0x03a8: 0x00000000 -> 0x00001000   (A 0  B 4096)

=== gpu_va=0x10000019900  A=bo_sigusr1_h0_va10000019900_cpu102d29900_sz20000.hex  B=bo_sigusr1_h0_va10000019900_cpu104419900_sz20000.hex ===
  +0x0008: 0x00000000 -> 0x00000800   (A 0  B 2048)
  +0x000c: 0x00000000 -> 0x00000010   (A 0  B 16)
  +0x0108: 0x00000000 -> 0x00018000   (A 0  B 98304)
  +0x010c: 0x00000000 -> 0x00000010   (A 0  B 16)

=== gpu_va=0x10000019a00  A=bo_sigusr1_h0_va10000019a00_cpu102d29a00_sz20000.hex  B=bo_sigusr1_h0_va10000019a00_cpu104419a00_sz20000.hex ===
  +0x0008: 0x00000000 -> 0x00018000   (A 0  B 98304)
  +0x000c: 0x00000000 -> 0x00000010   (A 0  B 16)

=== gpu_va=0x10000040000  A=bo_sigusr1_h0_va10000040000_cpu102d48000_sz10000.hex  B=bo_sigusr1_h0_va10000040000_cpu104438000_sz10000.hex ===
  +0x0140: 0x00000040 -> 0x00000080   (A 64  B 128)
  +0x0160: 0x60000000 -> 0x00000000   (A 1610612736  B 0)
  +0x0164: 0x0000035b -> 0x00000000   (A 859  B 0)
  +0x0180: 0x00000040 -> 0x60000000   (A 64  B 1610612736)
  +0x0184: 0x00000000 -> 0x0000035b   (A 0  B 859)
  +0x0240: 0x00000080 -> 0x00000100   (A 128  B 256)
  +0x0260: 0x00000000 -> 0x0000ffff   (A 0  B 65535)
  +0x0264: 0x00000000 -> 0x00007fff   (A 0  B 32767)
  +0x0268: 0x00000000 -> 0xffff8000   (A 0  B 4294934528)
  +0x026c: 0x00000000 -> 0xffffff80   (A 0  B 4294967168)
  +0x0270: 0x00000000 -> 0x040003ff   (A 0  B 67109887)
  +0x0274: 0x00000000 -> 0x40000000   (A 0  B 1073741824)
