BOs only in B: 0x1000001c900

=== gpu_va=0x0  A=map_seq000044_conn0_type00005e15_at101408000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu1048a8000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x038c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0390: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0394: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0398: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x039c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03a0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03a4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03a8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03ac: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03b0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03b4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03b8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03bc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03c0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03c4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03c8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03cc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03d0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03d4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03d8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03dc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03e0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03e4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03e8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03ec: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
