
=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu105b0c000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu109084000_sz8000.hex ===
  +0x02d4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02d8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02dc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02e0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02e4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02e8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02ec: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02f0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02f4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02f8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x02fc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0300: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0304: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0308: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x030c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0310: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0314: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0318: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x031c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0320: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0324: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0328: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x032c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0330: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0334: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0338: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x033c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0340: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0344: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0348: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x034c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0350: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0354: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0358: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x035c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0360: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0364: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0368: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x036c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0370: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0374: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0378: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x037c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0380: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0384: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0388: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x038c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0390: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0394: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0398: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x039c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03a8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03ac: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03b8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03bc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03c8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03cc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03d8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03dc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03e8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03ec: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03f8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x03fc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0400: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0404: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0408: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x040c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0410: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0414: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0418: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x041c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0420: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0424: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0428: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x042c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0430: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0434: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0438: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x043c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0440: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0444: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0448: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x044c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0450: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0454: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0458: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x045c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0460: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0464: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0468: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x046c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0470: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0474: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0478: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x047c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0480: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0484: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0488: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x048c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0490: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0494: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0498: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x049c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04a0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04a4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04a8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04ac: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04b0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04b4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04b8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04bc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04c0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04c4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04c8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04cc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04d0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04d4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04d8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04dc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04e0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04e4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04e8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04ec: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04f0: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04f4: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04f8: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x04fc: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0500: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0504: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0508: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x050c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0510: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0514: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0518: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x051c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0520: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0524: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0528: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x052c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0530: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
