
  +0x236c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2374: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x237c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2384: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x238c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x2394: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x239c: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23a4: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23ac: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23b4: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23bc: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23c4: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23cc: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23d4: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140
  +0x23dc: raw=0x00000005  <<6|base->0x010000000140 = va=0x10000000000+0x140

=== BO 0x10000018600 (bo_sigusr1_h0_va10000018600_cpu10238c600_sz20000.hex) shader-ptr candidates ===
  +0x2014: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x201c: raw=0x00000001  <<6|base->0x010000000040 = va=0x10000000000+0x40
  +0x2024: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x202c: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x2034: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x203c: raw=0x00000002  <<6|base->0x010000000080 = va=0x10000000000+0x80
  +0x2044: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x204c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2054: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x205c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2064: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x206c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2074: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x207c: raw=0x00000003  <<6|base->0x0100000000c0 = va=0x10000000000+0xc0
  +0x2084: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x208c: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x2094: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x209c: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20a4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20ac: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20b4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20bc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20c4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20cc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20d4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20dc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20e4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20ec: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20f4: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
  +0x20fc: raw=0x00000004  <<6|base->0x010000000100 = va=0x10000000000+0x100
